Artikelnummer,Kundennummer,Datum,Anzahl,Lieferung,wichtig,BackzettelNotiz,LieferscheinNotiz
56,987,2018-09-11,1,1,0,,
777,987,2018-09-11,1,1,0,,
1232323,987,2018-09-11,1,1,0,,
183,987,2018-09-11,1,1,0,,
1321321,987,2018-09-11,1,1,0,,
897987,987,2018-09-11,1,1,0,,
2312354,987,2018-09-11,1,1,0,,
4534577,987,2018-09-11,1,1,0,,
12121212,987,2018-09-11,1,1,0,,
12322,987,2018-09-11,1,1,0,,
343432,987,2018-09-11,1,1,0,,
465845,987,2018-09-11,1,1,0,,
565467,987,2018-09-11,1,1,0,,
23402393,987,2018-09-11,1,1,0,,
1233453423,987,2018-09-11,1,1,0,,
23449949,987,2018-09-11,1,1,0,,
