Datum,Kundennummer,Artikelnummer,Lieferung1,Lieferung2,Lieferung3,Extra,Nachlieferung,Retour,LieferscheinNotiz
2020-01-18,61,120x,0,0,0,0,4,0,
2020-01-18,195,120x,0,0,0,0,2,0,
2020-01-18,61,124x,0,0,0,0,7,0,
2020-01-18,195,124x,0,0,0,0,3,0,
2020-01-18,195,252x,0,0,0,0,2,0,
2020-01-18,61,255x,0,0,0,0,7,0,
2020-01-18,195,255x,0,0,0,0,3,0,
2020-01-18,195,108x,0,0,0,0,3,0,
2020-01-18,61,187x,0,0,0,0,12,0,
2020-01-18,195,1193x,0,0,0,0,3,0,
2020-01-18,1000195,120x,3,0,0,0,0,0,"Lieferung: 3 am 19.01.2020"
2020-01-18,1000061,120x,2,0,0,0,0,0,"Lieferung: 2 am 20.01.2020"
2020-01-18,1000195,124x,2,0,0,0,0,0,"Lieferung: 2 am 19.01.2020"
2020-01-18,1000061,124x,4,0,0,0,0,0,"Lieferung: 4 am 20.01.2020"
2020-01-18,1000195,252x,4,0,0,0,0,0,"Lieferung: 2 am 19.01.2020, Lieferung: 2 am 20.01.2020"
2020-01-18,1000195,117x,2,0,0,0,0,0,"Lieferung: 2 am 19.01.2020"
2020-01-18,1000195,255x,3,0,0,0,0,0,"Lieferung: 3 am 19.01.2020"
2020-01-18,1000061,255x,5,0,0,0,0,0,"Lieferung: 5 am 20.01.2020"
2020-01-18,1000195,108x,6,0,0,0,0,0,"Lieferung: 3 am 19.01.2020, Lieferung: 3 am 20.01.2020"
2020-01-18,1000061,187x,8,0,0,0,0,0,"Lieferung: 8 am 20.01.2020"
2020-01-18,1000195,1193x,6,0,0,0,0,0,"Lieferung: 3 am 19.01.2020, Lieferung: 3 am 20.01.2020"
