NR,C,13|NAME,C,30|ZUSATZ,C,254|ZUSATZNR,C,11|EINHEIT,C,8|PREISA,C,10|SOPREISA,C,10|PREISB,C,10|SOPREISB,C,10|TEXT,C,254|TEXT_2,C,254|TEXT_3,C,254|TEXT_4,C,254|TEXT2,C,254|TEXT2_2,C,254|TEXT2_3,C,254|TEXT2_4,C,254|TEXT3,C,254|TEXT3_2,C,254|TEXT3_3,C,254|TEXT3_4,C,254|EAN,C,13|MHD,C,10|HALTBTAGE,C,3|GRAFIK,C,254|GRAFIK2,C,254|VKGEWICHT,C,8|KGPREISA,C,25|KGPREISB,C,25|BPTEXT1,C,254|BPTEXT1_2,C,254|BPTEXT1_3,C,254|BPTEXT1_4,C,254|BPTEXT2,C,254|BPTEXT2_2,C,254|BPTEXT2_3,C,254|BPTEXT2_4,C,254|BPTEXT3,C,254|BPTEXT3_2,C,254|BPTEXT3_3,C,254|BPTEXT3_4,C,254|BPTEXT4,C,254|BPTEXT4_2,C,254|BPTEXT4_3,C,254|BPTEXT4_4,C,254|BPTEXT5,C,254|BPTEXT5_2,C,254|BPTEXT5_3,C,254|BPTEXT5_4,C,254|BPTEXT6,C,254|BPTEXT6_2,C,254|BPTEXT6_3,C,254|BPTEXT6_4,C,254|BPTEXT7,C,254|BPTEXT7_2,C,254|BPTEXT7_3,C,254|BPTEXT7_4,C,254|BPTEXT8,C,254|BPTEXT8_2,C,254|BPTEXT8_3,C,254|BPTEXT8_4,C,254|BPTEXT9,C,254|BPTEXT9_2,C,254|BPTEXT9_3,C,254|BPTEXT9_4,C,254|BPTEXT10,C,254|BPTEXT10_2,C,254|BPTEXT10_3,C,254|BPTEXT10_4,C,254|LINKARTIK,C,30|LINKPREIS,C,10|KJ,C,10|KCAL,C,10|EIWEISS,C,10|FETT,C,10|KOHLENHYDR,C,10|GESFETTSAE,C,10|ZUCKER,C,10|BALLASTSTO,C,10|KOCHSALZ,C,10|BEINHEITEN,C,10|GRAMMBE,C,10|ALLERGENE,C,254
1|*Weizen-VK Brötchen bio|||-|0,650|0,000|0,650|0,000|WEIZENvollkornmehl, pflanzl. Margarine, Bioreal-Hefe, Meersalz*||||Weizen-Vollkorn Brötchen|||||||||15.07.2020||||70 g|9,286|0,929|WEIZENVOLLKORNMEHL BIO; Wasser; Bio-Realhefe bio; Margarine bio; Salz||||Ø je 100 g:  Energie: 1066 kJ / 255 kcal  /  Fett: 3,3 g  /  davon ges. Fettsäuren: 1,3 g  /  Kohlenhydrate: 43,0 g  /  davon Zucker: 0,5 g  /  Ballaststoffe: 7,8 g  /  Eiweiß: 8,4 g  /  Salz: 1,8 g  /  Broteinheiten (BE): 3,6  /  1 BE entspricht: 28 g||||"Enthaltene Allergene: Glutenhaltige Getreide (Weizen).
 - Zutaten mit ausgewiesenen Allergenen: WEIZENVOLLKORNMEHL BIO"||||||||||||||||||||||||||||||||||1066|255|8,43 g|3,34 g|43,00 g|1,28 g|0,51 g|7,83 g|1,80 g|3,58|27,90 g|Gluten
2|*Weltmeisterbrötchen bio|||Stück|0,700|0,000|0,700|0,000|WEIZENvollkornmehl, pflanzl. Margarine, Bioreal-Hefe, Meersalz*, Sonnenblumenkerne, Mohn, SESAM||||Weltmeisterbrötchen|||||||||15.07.2020||||70 g|10,000|1,000|WEIZENVOLLKORNMEHL BIO; Wasser; Sonnenblumenkerne bio; Bio-Realhefe bio; Margarine bio; Salz; Mohn bio; SESAM NATUR BIO||||Ø je 100 g:  Energie: 1243 kJ / 297 kcal  /  Fett: 8,7 g  /  davon ges. Fettsäuren: 1,8 g  /  Kohlenhydrate: 40,2 g  /  davon Zucker: 0,5 g  /  Ballaststoffe: 7,9 g  /  Eiweiß: 10,2 g  /  Salz: 1,6 g  /  Broteinheiten (BE): 3,4  /  1 BE entspricht: 30 g||||"Enthaltene Allergene: Glutenhaltige Getreide (Weizen), Sesam.
 - Zutaten mit ausgewiesenen Allergenen: WEIZENVOLLKORNMEHL BIO, SESAM NATUR BIO"||||||||||||||||||||||||||||||||||1243|297|10,20 g|8,70 g|40,22 g|1,83 g|0,50 g|7,93 g|1,63 g|3,35|29,83 g|Gluten, Sesam
2a|* Weltmeisterbrötchen bio halb|||Stück|0,700|0,000|0,700|0,000|Weizenvollkornmehl, pflanzl. Margarine, Bioreal-Hefe, Meersalz*, Sonnenblumenkerne, Mohn, Sesam||||Weltmeisterbrötchen|||||||||15.07.2020||||70 g|10,000|1,000|WEIZENVOLLKORNMEHL BIO; Wasser; Sonnenblumenkerne bio; Bio-Realhefe bio; Margarine bio; Salz; Mohn bio; SESAM NATUR BIO||||Ø je 100 g:  Energie: 1243 kJ / 297 kcal  /  Fett: 8,7 g  /  davon ges. Fettsäuren: 1,8 g  /  Kohlenhydrate: 40,2 g  /  davon Zucker: 0,5 g  /  Ballaststoffe: 7,9 g  /  Eiweiß: 10,2 g  /  Salz: 1,6 g  /  Broteinheiten (BE): 3,4  /  1 BE entspricht: 30 g||||"Enthaltene Allergene: Glutenhaltige Getreide (Weizen), Sesam.
 - Zutaten mit ausgewiesenen Allergenen: WEIZENVOLLKORNMEHL BIO, SESAM NATUR BIO"||||||||||||||||||||||||||||||||||1243|297|10,20 g|8,70 g|40,22 g|1,83 g|0,50 g|7,93 g|1,63 g|3,35|29,83 g|Gluten, Sesam
3|*Rosinenbrötchen bio|||Stück|0,700|0,000|0,700|0,000|WEIZENvollkornmehl, pflanzl. Margarine, Bioreal-Hefe, Meersalz*, Rosinen||||Rosinenbrötchen|||||||||15.07.2020||||70 g|10,000|1,000|WEIZENVOLLKORNMEHL BIO; Rosinen bio; Bio-Realhefe bio; Margarine bio; Salz; Wasser||||Ø je 100 g:  Energie: 1329 kJ / 318 kcal  /  Fett: 3,3 g  /  davon ges. Fettsäuren: 1,2 g  /  Kohlenhydrate: 58,7 g  /  davon Zucker: 18,0 g  /  Ballaststoffe: 8,0 g  /  Eiweiß: 8,7 g  /  Salz: 1,7 g  /  Broteinheiten (BE): 4,9  /  1 BE entspricht: 20 g||||"Enthaltene Allergene: Glutenhaltige Getreide (Weizen).
 - Zutaten mit ausgewiesenen Allergenen: WEIZENVOLLKORNMEHL BIO"||||||||||||||||||||||||||||||||||1329|318|8,75 g|3,30 g|58,68 g|1,25 g|17,99 g|8,00 g|1,72 g|4,89|20,45 g|Gluten
4|*Dinkelbrötchen bio|||Stück|0,700|0,000|0,700|0,000|Dinkelvollkornmehl, pflanzl. Margarine, Bioreal-Hefe, Meersalz*||||Dinkelbrötchen|||||||||15.07.2020||||60 g|11,667|1,167|DINKELVOLLKORNMEHL BIO; Bio-Realhefe bio; Backmargarine Stange bio; Salz; Wasser||||Ø je 100 g:  Energie: 1391 kJ / 332 kcal  /  Fett: 3,7 g  /  davon ges. Fettsäuren: 1,5 g  /  Kohlenhydrate: 55,8 g  /  davon Zucker: 0,9 g  /  Ballaststoffe: 9,5 g  /  Eiweiß: 11,9 g  /  Salz: 1,8 g  /  Broteinheiten (BE): 4,6  /  1 BE entspricht: 22 g||||"Enthaltene Allergene: Glutenhaltige Getreide (Dinkel).
 - Zutaten mit ausgewiesenen Allergenen: DINKELVOLLKORNMEHL BIO"||||||||||||||||||||||||||||||||||1391|332|11,89 g|3,72 g|55,80 g|1,54 g|0,94 g|9,55 g|1,80 g|4,65|21,51 g|Gluten
4a|*VK-Dinkel-Rosinenbrötchen bio|||Stück|0,750|0,000|0,750|0,000|Dinkelvollkornmehl, Sultaninen, pflanzl. Margarine, Bioreal-Hefe, Meersalz*|||||||||||||15.07.2020||||62 g|12,097|1,210|DINKELVOLLKORNMEHL BIO; Bio-Realhefe bio; Backmargarine Stange bio; Salz; Wasser||||Ø je 100 g:  Energie: 1391 kJ / 332 kcal  /  Fett: 3,7 g  /  davon ges. Fettsäuren: 1,5 g  /  Kohlenhydrate: 55,8 g  /  davon Zucker: 0,9 g  /  Ballaststoffe: 9,5 g  /  Eiweiß: 11,9 g  /  Salz: 1,8 g  /  Broteinheiten (BE): 4,6  /  1 BE entspricht: 22 g||||"Enthaltene Allergene: Glutenhaltige Getreide (Dinkel).
 - Zutaten mit ausgewiesenen Allergenen: DINKELVOLLKORNMEHL BIO"||||||||||||||||||||||||||||||||||1391|332|11,89 g|3,72 g|55,80 g|1,54 g|0,94 g|9,55 g|1,80 g|4,65|21,51 g|Gluten
4b| *VK-Dk-Ros.Brö halbgeb|||Stück|0,750|0,000|0,750|0,000|Dinkelvollkornmehl, Sultaninen, pflanzl. Margarine, Bioreal-Hefe, Meersalz*|||||||||||||15.07.2020||||62 g|12,097|1,210|DINKELVOLLKORNMEHL BIO; Bio-Realhefe bio; Backmargarine Stange bio; Salz; Wasser||||Ø je 100 g:  Energie: 1391 kJ / 332 kcal  /  Fett: 3,7 g  /  davon ges. Fettsäuren: 1,5 g  /  Kohlenhydrate: 55,8 g  /  davon Zucker: 0,9 g  /  Ballaststoffe: 9,5 g  /  Eiweiß: 11,9 g  /  Salz: 1,8 g  /  Broteinheiten (BE): 4,6  /  1 BE entspricht: 22 g||||"Enthaltene Allergene: Glutenhaltige Getreide (Dinkel).
 - Zutaten mit ausgewiesenen Allergenen: DINKELVOLLKORNMEHL BIO"||||||||||||||||||||||||||||||||||1391|332|11,89 g|3,72 g|55,80 g|1,54 g|0,94 g|9,55 g|1,80 g|4,65|21,51 g|Gluten
4c| *Dinkelbrötchen halbgeb. bio|||Stück|0,700|0,000|0,700|0,000|Dinkelvollkornmehl, pflanzl. Margarine, Bioreal-Hefe, Meersalz*||||Dinkelbrötchen|||||||||15.07.2020||||60 g|11,667|1,167|DINKELVOLLKORNMEHL BIO; Bio-Realhefe bio; Backmargarine Stange bio; Salz; Wasser||||Ø je 100 g:  Energie: 1391 kJ / 332 kcal  /  Fett: 3,7 g  /  davon ges. Fettsäuren: 1,5 g  /  Kohlenhydrate: 55,8 g  /  davon Zucker: 0,9 g  /  Ballaststoffe: 9,5 g  /  Eiweiß: 11,9 g  /  Salz: 1,8 g  /  Broteinheiten (BE): 4,6  /  1 BE entspricht: 22 g||||"Enthaltene Allergene: Glutenhaltige Getreide (Dinkel).
 - Zutaten mit ausgewiesenen Allergenen: DINKELVOLLKORNMEHL BIO"||||||||||||||||||||||||||||||||||1391|332|11,89 g|3,72 g|55,80 g|1,54 g|0,94 g|9,55 g|1,80 g|4,65|21,51 g|Gluten
5|*Roggenbrötchen bio|||Stück|0,700|0,000|0,700|0,000|Roggenschrot, Natur-Sauerteig, Meersalz*||||Roggenbrötchen|||||||||15.07.2020||||100 g|7,000|0,700|SAUERTEIG ROGGENSCHROT BIO (ROGGENSCHROT bio, Wasser); ROGGENSCHROT BIO; Wasser; Salz||||Ø je 100 g:  Energie: 831 kJ / 199 kcal  /  Fett: 0,9 g  /  davon ges. Fettsäuren: 0,2 g  /  Kohlenhydrate: 40,3 g  /  davon Zucker: 3,0 g  /  Ballaststoffe: 8,9 g  /  Eiweiß: 5,9 g  /  Salz: 1,7 g  /  Broteinheiten (BE): 3,4  /  1 BE entspricht: 30 g||||"Enthaltene Allergene: Glutenhaltige Getreide (Roggen).
 - Zutaten mit ausgewiesenen Allergenen: SAUERTEIG ROGGENSCHROT BIO, ROGGENSCHROT BIO"||||||||||||||||||||||||||||||||||831|199|5,92 g|0,94 g|40,33 g|0,20 g|3,02 g|8,87 g|1,75 g|3,36|29,75 g|Gluten
5b|*Roggenbrötchen bio halbgeb|||Stück|0,700|0,000|0,700|0,000|Roggenschrot, Natur-Sauerteig, Meersalz*||||Roggenbrötchen|||||||||15.07.2020||||100 g|7,000|0,700|SAUERTEIG ROGGENSCHROT BIO (ROGGENSCHROT bio, Wasser); ROGGENSCHROT BIO; Wasser; Salz||||Ø je 100 g:  Energie: 831 kJ / 199 kcal  /  Fett: 0,9 g  /  davon ges. Fettsäuren: 0,2 g  /  Kohlenhydrate: 40,3 g  /  davon Zucker: 3,0 g  /  Ballaststoffe: 8,9 g  /  Eiweiß: 5,9 g  /  Salz: 1,7 g  /  Broteinheiten (BE): 3,4  /  1 BE entspricht: 30 g||||"Enthaltene Allergene: Glutenhaltige Getreide (Roggen).
 - Zutaten mit ausgewiesenen Allergenen: SAUERTEIG ROGGENSCHROT BIO, ROGGENSCHROT BIO"||||||||||||||||||||||||||||||||||831|199|5,92 g|0,94 g|40,33 g|0,20 g|3,02 g|8,87 g|1,75 g|3,36|29,75 g|Gluten
